epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,15154.7,0.17327,0.18187,0.1447,0.78892,0.99983,0.99703,0.995,0.99084,0.99983,0.99703,0.995,0.9865,0.1435,0.1344,0.10609,0.85649,0.0007229,0.0007229,0.0007229
131,15271.1,0.18099,0.1739,0.14513,0.79627,0.99982,0.99703,0.995,0.99151,0.99982,0.99703,0.995,0.98668,0.12436,0.12672,0.10604,0.85378,0.000713,0.000713,0.000713
132,15387.6,0.17112,0.17589,0.13967,0.78823,0.99984,0.99703,0.995,0.99161,0.99984,0.99703,0.995,0.98631,0.12868,0.13884,0.11288,0.85489,0.0007031,0.0007031,0.0007031
133,15504.1,0.1795,0.17541,0.14744,0.79071,0.99977,0.99703,0.995,0.99178,0.99977,0.99703,0.995,0.98688,0.11005,0.12794,0.10647,0.85461,0.0006932,0.0006932,0.0006932
134,15620.5,0.18021,0.17852,0.14676,0.79162,0.99977,0.99703,0.995,0.99252,0.99977,0.99703,0.995,0.98185,0.12846,0.1702,0.1064,0.85673,0.0006833,0.0006833,0.0006833
135,15737,0.16682,0.16637,0.14238,0.78328,0.99984,0.99703,0.995,0.99192,0.99984,0.99703,0.995,0.98701,0.12324,0.12825,0.11356,0.85486,0.0006734,0.0006734,0.0006734
136,15853.4,0.16482,0.16852,0.13631,0.78677,0.99982,0.99703,0.995,0.99116,0.99982,0.99703,0.995,0.98761,0.10657,0.12547,0.13096,0.85653,0.0006635,0.0006635,0.0006635
137,15969.9,0.17659,0.1874,0.1436,0.7958,0.99984,0.99703,0.995,0.99116,0.99984,0.99703,0.995,0.9856,0.10845,0.14059,0.10084,0.85409,0.0006536,0.0006536,0.0006536
138,16086.4,0.17213,0.18505,0.14096,0.79055,0.99984,0.99703,0.995,0.99146,0.99984,0.99703,0.995,0.98531,0.10043,0.14164,0.08916,0.85226,0.0006437,0.0006437,0.0006437
139,16202.8,0.16143,0.16361,0.13606,0.78946,0.99983,0.99703,0.995,0.9913,0.99983,0.99703,0.995,0.98894,0.10241,0.14211,0.09801,0.84934,0.0006338,0.0006338,0.0006338
140,16319.3,0.16287,0.16669,0.13533,0.7921,0.99984,0.99703,0.995,0.99194,0.99984,0.99703,0.995,0.98959,0.10888,0.11455,0.0974,0.85044,0.0006239,0.0006239,0.0006239
141,16435.8,0.17141,0.17242,0.14129,0.79023,0.99984,0.99703,0.995,0.99168,0.99984,0.99703,0.995,0.98713,0.10559,0.11437,0.09054,0.84791,0.000614,0.000614,0.000614
142,16552.2,0.17498,0.17013,0.14281,0.78987,0.99984,0.99703,0.995,0.99131,0.99984,0.99703,0.995,0.98655,0.11536,0.1121,0.10093,0.85045,0.0006041,0.0006041,0.0006041
143,16668.6,0.17046,0.17097,0.13602,0.78826,0.99984,0.99703,0.995,0.99125,0.99984,0.99703,0.995,0.98863,0.10614,0.11448,0.09503,0.85076,0.0005942,0.0005942,0.0005942
144,16785.1,0.16205,0.16956,0.13388,0.78939,0.99983,0.99703,0.995,0.99174,0.99983,0.99703,0.995,0.98558,0.11327,0.17386,0.09535,0.85272,0.0005843,0.0005843,0.0005843
145,16901.5,0.1577,0.156,0.13274,0.79155,0.99979,0.99703,0.995,0.99037,0.99979,0.99703,0.995,0.98571,0.10678,0.12016,0.09516,0.85136,0.0005744,0.0005744,0.0005744
146,17017.9,0.15773,0.15467,0.13317,0.79006,0.99982,0.99703,0.995,0.9911,0.99982,0.99703,0.995,0.98648,0.11709,0.11977,0.10527,0.852,0.0005645,0.0005645,0.0005645
147,17134.3,0.15914,0.16823,0.13318,0.78813,0.99976,0.99703,0.995,0.9901,0.99976,0.99703,0.995,0.98593,0.09409,0.12885,0.08071,0.85374,0.0005546,0.0005546,0.0005546
148,17250.8,0.15757,0.15825,0.13158,0.79127,0.99983,0.99703,0.995,0.99146,0.99983,0.99703,0.995,0.98749,0.10391,0.12577,0.08428,0.85235,0.0005447,0.0005447,0.0005447
149,17367.2,0.16379,0.15269,0.13591,0.79061,0.99984,0.99703,0.995,0.99191,0.99984,0.99703,0.995,0.98803,0.12212,0.11955,0.09027,0.85447,0.0005348,0.0005348,0.0005348
150,17483.7,0.16197,0.16364,0.13425,0.79176,0.99982,0.99703,0.995,0.99229,0.99982,0.99703,0.995,0.98978,0.12013,0.11456,0.10781,0.85078,0.0005249,0.0005249,0.0005249
151,17600.2,0.15859,0.15679,0.13259,0.7893,0.9998,0.99703,0.995,0.99282,0.9998,0.99703,0.995,0.98989,0.09174,0.1038,0.08104,0.845,0.000515,0.000515,0.000515
152,17716.7,0.15951,0.15706,0.13188,0.79219,0.99978,0.99703,0.995,0.99186,0.99978,0.99703,0.995,0.98913,0.09737,0.10777,0.08928,0.85297,0.0005051,0.0005051,0.0005051
153,17833.2,0.15522,0.15224,0.12933,0.79172,0.99981,0.99703,0.995,0.99205,0.99981,0.99703,0.995,0.98815,0.09809,0.10779,0.08555,0.85499,0.0004952,0.0004952,0.0004952
154,17949.7,0.15533,0.15397,0.12848,0.79161,0.99983,0.99703,0.995,0.99216,0.99983,0.99703,0.995,0.98831,0.09066,0.10838,0.07366,0.85332,0.0004853,0.0004853,0.0004853
155,18066.3,0.15853,0.15743,0.12868,0.79042,0.99984,0.99703,0.995,0.99174,0.99984,0.99703,0.995,0.98858,0.10125,0.10241,0.07956,0.85341,0.0004754,0.0004754,0.0004754
156,18182.8,0.1597,0.16222,0.13036,0.79045,0.99984,0.99703,0.995,0.9919,0.99984,0.99703,0.995,0.98797,0.10964,0.11561,0.08693,0.85321,0.0004655,0.0004655,0.0004655
157,18299.3,0.15618,0.14947,0.12793,0.78933,0.99984,0.99703,0.995,0.99236,0.99984,0.99703,0.995,0.98889,0.10188,0.09854,0.07963,0.85194,0.0004556,0.0004556,0.0004556
158,18415.7,0.14807,0.14987,0.1255,0.78204,0.99987,0.99703,0.995,0.99108,0.99987,0.99703,0.995,0.98793,0.0972,0.09872,0.0695,0.8541,0.0004457,0.0004457,0.0004457
159,18532.2,0.15709,0.14945,0.13067,0.78499,0.9999,0.99703,0.995,0.99181,0.9999,0.99703,0.995,0.98964,0.10361,0.09994,0.08005,0.8493,0.0004358,0.0004358,0.0004358
160,18648.6,0.14998,0.16113,0.12828,0.78712,0.99984,0.99703,0.995,0.99065,0.99984,0.99703,0.995,0.98717,0.10139,0.1053,0.08307,0.8552,0.0004259,0.0004259,0.0004259
161,18765,0.15101,0.14695,0.12474,0.79168,0.99984,0.99703,0.995,0.99099,0.99984,0.99703,0.995,0.98858,0.10569,0.11046,0.07696,0.85608,0.000416,0.000416,0.000416
162,18881.4,0.14535,0.15058,0.12274,0.79317,0.99984,0.99703,0.995,0.98972,0.99984,0.99703,0.995,0.98801,0.11423,0.11659,0.08524,0.85957,0.0004061,0.0004061,0.0004061
163,18997.8,0.14943,0.14625,0.12291,0.79087,0.99984,0.99703,0.995,0.98988,0.99984,0.99703,0.995,0.98787,0.11117,0.1107,0.08561,0.86296,0.0003962,0.0003962,0.0003962
164,19114.3,0.15837,0.15436,0.12709,0.79456,0.99983,0.99703,0.995,0.99112,0.99983,0.99703,0.995,0.98822,0.11945,0.11765,0.09263,0.85216,0.0003863,0.0003863,0.0003863
165,19230.9,0.14911,0.15623,0.12211,0.78822,0.99983,0.99703,0.995,0.99148,0.99983,0.99703,0.995,0.98909,0.10502,0.10777,0.09068,0.85413,0.0003764,0.0003764,0.0003764
166,19347.4,0.14981,0.15016,0.12008,0.78827,0.99983,0.99703,0.995,0.99073,0.99983,0.99703,0.995,0.98792,0.10259,0.09926,0.09802,0.85038,0.0003665,0.0003665,0.0003665
167,19463.9,0.14398,0.14944,0.1202,0.78256,0.99984,0.99703,0.995,0.99186,0.99984,0.99703,0.995,0.98827,0.10318,0.10386,0.09056,0.85065,0.0003566,0.0003566,0.0003566
168,19580.4,0.14351,0.14515,0.12029,0.78892,0.99984,0.99703,0.995,0.99194,0.99984,0.99703,0.995,0.98912,0.09675,0.0995,0.09891,0.85238,0.0003467,0.0003467,0.0003467
169,19696.9,0.14568,0.14916,0.12042,0.78778,0.99983,0.99703,0.995,0.99185,0.99983,0.99703,0.995,0.98828,0.10481,0.10151,0.09423,0.85262,0.0003368,0.0003368,0.0003368
170,19813.3,0.14641,0.15099,0.11937,0.78962,0.99984,0.99703,0.995,0.99115,0.99984,0.99703,0.995,0.9864,0.09291,0.11402,0.07603,0.84936,0.0003269,0.0003269,0.0003269
171,19929.8,0.14543,0.14282,0.12017,0.78503,0.99984,0.99703,0.995,0.99093,0.99984,0.99703,0.995,0.988,0.09664,0.10256,0.07636,0.85112,0.000317,0.000317,0.000317
172,20046.3,0.14306,0.15058,0.11541,0.78972,0.99984,0.99703,0.995,0.99184,0.99984,0.99703,0.995,0.98915,0.09457,0.09712,0.09395,0.84902,0.0003071,0.0003071,0.0003071
173,20162.7,0.14398,0.15236,0.11599,0.79554,0.99984,0.99703,0.995,0.99132,0.99984,0.99703,0.995,0.98803,0.09622,0.1028,0.07109,0.84866,0.0002972,0.0002972,0.0002972
174,20279.1,0.14357,0.13945,0.1186,0.78818,0.99984,0.99703,0.995,0.99193,0.99984,0.99703,0.995,0.98796,0.09304,0.09409,0.07958,0.85011,0.0002873,0.0002873,0.0002873
175,20395.6,0.14051,0.1494,0.11686,0.79118,0.99984,0.99703,0.995,0.99232,0.99984,0.99703,0.995,0.98873,0.08732,0.09626,0.06658,0.85241,0.0002774,0.0002774,0.0002774
176,20512.2,0.14206,0.14021,0.11607,0.78597,0.99984,0.99703,0.995,0.99231,0.99984,0.99703,0.995,0.98914,0.08878,0.09645,0.06815,0.84756,0.0002675,0.0002675,0.0002675
177,20628.6,0.14387,0.13714,0.11595,0.79161,0.99984,0.99703,0.995,0.99246,0.99984,0.99703,0.995,0.98815,0.09172,0.10089,0.07529,0.84887,0.0002576,0.0002576,0.0002576
178,20745,0.13354,0.13831,0.10865,0.78627,0.99984,0.99703,0.995,0.9925,0.99984,0.99703,0.995,0.98975,0.08888,0.093,0.07271,0.84669,0.0002477,0.0002477,0.0002477
179,20861.4,0.1289,0.1361,0.10776,0.79023,0.99984,0.99703,0.995,0.99228,0.99984,0.99703,0.995,0.99047,0.08472,0.08938,0.07238,0.84802,0.0002378,0.0002378,0.0002378
180,20978,0.13493,0.14177,0.11123,0.78949,0.99983,0.99703,0.995,0.99222,0.99983,0.99703,0.995,0.98966,0.09169,0.10177,0.07819,0.84864,0.0002279,0.0002279,0.0002279
181,21094.4,0.13334,0.12815,0.11089,0.78478,0.99984,0.99703,0.995,0.99197,0.99984,0.99703,0.995,0.98902,0.0882,0.09955,0.08336,0.84964,0.000218,0.000218,0.000218
182,21210.8,0.13271,0.12658,0.11057,0.78763,0.99983,0.99703,0.995,0.99265,0.99983,0.99703,0.995,0.98993,0.08962,0.09647,0.07268,0.84934,0.0002081,0.0002081,0.0002081
183,21327.3,0.13484,0.13293,0.10849,0.7893,0.99984,0.99703,0.995,0.99251,0.99984,0.99703,0.995,0.99019,0.09195,0.09168,0.06975,0.84951,0.0001982,0.0001982,0.0001982
184,21443.6,0.13195,0.1309,0.10833,0.7866,0.99984,0.99703,0.995,0.99234,0.99984,0.99703,0.995,0.99018,0.08675,0.09248,0.07061,0.84928,0.0001883,0.0001883,0.0001883
185,21560.1,0.13269,0.1332,0.10895,0.78404,0.99984,0.99703,0.995,0.99261,0.99984,0.99703,0.995,0.98998,0.09118,0.09007,0.07888,0.84908,0.0001784,0.0001784,0.0001784
186,21676.4,0.12544,0.12446,0.10477,0.78575,0.99984,0.99703,0.995,0.99257,0.99984,0.99703,0.995,0.99062,0.08681,0.08913,0.07245,0.8496,0.0001685,0.0001685,0.0001685
187,21793,0.1366,0.13739,0.11092,0.78701,0.99984,0.99703,0.995,0.9929,0.99984,0.99703,0.995,0.99041,0.0859,0.08885,0.06831,0.84811,0.0001586,0.0001586,0.0001586
188,21909.5,0.13126,0.12684,0.10826,0.79117,0.99984,0.99703,0.995,0.99273,0.99984,0.99703,0.995,0.99007,0.08499,0.08756,0.06545,0.84722,0.0001487,0.0001487,0.0001487
189,22025.9,0.13065,0.13025,0.10595,0.78555,0.99984,0.99703,0.995,0.99275,0.99984,0.99703,0.995,0.99016,0.08261,0.08848,0.06604,0.8493,0.0001388,0.0001388,0.0001388
190,22142.3,0.12848,0.13974,0.10492,0.78961,0.99984,0.99703,0.995,0.99253,0.99984,0.99703,0.995,0.99086,0.08193,0.09061,0.06664,0.84935,0.0001289,0.0001289,0.0001289
191,22259.4,0.08919,0.0999,0.07811,0.75944,0.99984,0.99703,0.995,0.99093,0.99984,0.99703,0.995,0.98728,0.0828,0.09433,0.06731,0.84939,0.000119,0.000119,0.000119
192,22375.6,0.08963,0.09519,0.07679,0.75321,0.99984,0.99703,0.995,0.99121,0.99984,0.99703,0.995,0.98862,0.08311,0.09106,0.06474,0.85197,0.0001091,0.0001091,0.0001091
193,22491.8,0.08845,0.09825,0.07545,0.75787,0.99984,0.99703,0.995,0.99196,0.99984,0.99703,0.995,0.98957,0.08283,0.09418,0.06571,0.84971,9.92e-05,9.92e-05,9.92e-05
194,22607.9,0.08646,0.09407,0.07725,0.76382,0.99984,0.99703,0.995,0.99228,0.99984,0.99703,0.995,0.98966,0.0867,0.08975,0.06886,0.84778,8.93e-05,8.93e-05,8.93e-05
195,22724.1,0.08768,0.09184,0.07575,0.76048,0.99984,0.99703,0.995,0.99254,0.99984,0.99703,0.995,0.99008,0.0844,0.08769,0.06268,0.8482,7.94e-05,7.94e-05,7.94e-05
196,22840.2,0.08617,0.09391,0.07446,0.76592,0.99984,0.99703,0.995,0.99238,0.99984,0.99703,0.995,0.99123,0.0803,0.08959,0.06045,0.84818,6.95e-05,6.95e-05,6.95e-05
197,22956.4,0.08438,0.09312,0.07294,0.75438,0.99984,0.99703,0.995,0.99277,0.99984,0.99703,0.995,0.99022,0.07912,0.0895,0.05739,0.84772,5.96e-05,5.96e-05,5.96e-05
198,23072.6,0.08386,0.09355,0.07104,0.75773,0.99984,0.99703,0.995,0.99236,0.99984,0.99703,0.995,0.99043,0.08058,0.09076,0.05743,0.84845,4.97e-05,4.97e-05,4.97e-05
199,23188.8,0.08388,0.09905,0.07216,0.75357,0.99984,0.99703,0.995,0.99237,0.99984,0.99703,0.995,0.99067,0.07973,0.09006,0.05653,0.84893,3.98e-05,3.98e-05,3.98e-05
200,23304.9,0.08264,0.09397,0.07046,0.7598,0.99984,0.99703,0.995,0.9927,0.99984,0.99703,0.995,0.9906,0.08076,0.08926,0.05744,0.84928,2.99e-05,2.99e-05,2.99e-05
