epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3507.34,0.33082,0.36727,0.25303,0.82295,0.99968,0.99703,0.995,0.98036,0.99968,0.99703,0.995,0.92396,0.23273,0.30458,0.19702,0.8851,0.0017129,0.0017129,0.0017129
31,3623.89,0.32107,0.35783,0.24808,0.81802,0.9994,0.99703,0.995,0.97793,0.9994,0.99703,0.995,0.92867,0.21791,0.27548,0.18685,0.86618,0.001703,0.001703,0.001703
32,3740.36,0.31885,0.35292,0.24621,0.81676,0.99983,0.99703,0.995,0.98378,0.99983,0.99703,0.995,0.93446,0.21108,0.28246,0.19459,0.86955,0.0016931,0.0016931,0.0016931
33,3856.85,0.3337,0.34801,0.24792,0.82079,0.9998,0.99703,0.995,0.98491,0.9998,0.99703,0.995,0.93136,0.24444,0.2735,0.24176,0.87546,0.0016832,0.0016832,0.0016832
34,3973.27,0.30944,0.35137,0.23924,0.8157,0.9998,0.99703,0.995,0.98446,0.9998,0.99703,0.995,0.92913,0.19432,0.27334,0.17706,0.8729,0.0016733,0.0016733,0.0016733
35,4089.79,0.30333,0.34092,0.23645,0.80926,0.99959,0.99703,0.995,0.97885,0.99959,0.99703,0.995,0.94831,0.19685,0.26491,0.19947,0.8645,0.0016634,0.0016634,0.0016634
36,4206.35,0.30334,0.34124,0.23549,0.81593,0.99979,0.99703,0.995,0.98463,0.99979,0.99703,0.995,0.94595,0.19791,0.27038,0.1624,0.86528,0.0016535,0.0016535,0.0016535
37,4322.81,0.31167,0.34837,0.24144,0.8176,0.99974,0.99703,0.995,0.97834,0.99974,0.99703,0.995,0.91673,0.2353,0.28259,0.20404,0.87086,0.0016436,0.0016436,0.0016436
38,4439.28,0.31438,0.3657,0.2412,0.81078,0.99978,0.99703,0.995,0.98423,0.99978,0.99703,0.995,0.92716,0.22987,0.2966,0.24005,0.86787,0.0016337,0.0016337,0.0016337
39,4555.81,0.30338,0.3448,0.2531,0.80973,0.99971,0.99703,0.995,0.97994,0.99971,0.99703,0.995,0.95143,0.20559,0.26684,0.17682,0.86439,0.0016238,0.0016238,0.0016238
40,4672.33,0.29235,0.3357,0.22757,0.80848,0.99983,0.99703,0.995,0.98605,0.99983,0.99703,0.995,0.93479,0.22438,0.29014,0.17667,0.86268,0.0016139,0.0016139,0.0016139
41,4788.82,0.31793,0.35187,0.2418,0.81842,0.99974,0.99703,0.995,0.98058,0.99974,0.99703,0.995,0.9047,0.24284,0.32564,0.15982,0.87034,0.001604,0.001604,0.001604
42,4905.25,0.31202,0.33361,0.23796,0.81612,0.9998,0.99703,0.995,0.97546,0.9998,0.99703,0.995,0.92827,0.23603,0.28251,0.18456,0.86479,0.0015941,0.0015941,0.0015941
43,5021.75,0.30294,0.33264,0.22968,0.81396,0.99979,0.99703,0.995,0.98497,0.99979,0.99703,0.995,0.93914,0.20083,0.30261,0.2282,0.86369,0.0015842,0.0015842,0.0015842
44,5138.24,0.29495,0.33313,0.22511,0.81306,0.99983,0.99703,0.995,0.98738,0.99983,0.99703,0.995,0.95146,0.21077,0.28011,0.22336,0.86696,0.0015743,0.0015743,0.0015743
45,5254.72,0.2933,0.34582,0.22333,0.8149,0.99949,0.99703,0.995,0.98971,0.99949,0.99703,0.995,0.95713,0.19729,0.29612,0.16857,0.8624,0.0015644,0.0015644,0.0015644
46,5371.3,0.28233,0.31604,0.21669,0.81299,0.99977,0.99703,0.995,0.98711,0.99977,0.99703,0.995,0.94388,0.1603,0.26464,0.1484,0.85918,0.0015545,0.0015545,0.0015545
47,5487.77,0.279,0.32851,0.20972,0.80661,0.99978,0.99703,0.995,0.99137,0.99978,0.99703,0.995,0.9447,0.17577,0.28737,0.18599,0.85785,0.0015446,0.0015446,0.0015446
48,5604.25,0.28133,0.3233,0.21394,0.80779,0.99982,0.99703,0.995,0.98866,0.99982,0.99703,0.995,0.93697,0.19352,0.2757,0.16296,0.86235,0.0015347,0.0015347,0.0015347
49,5720.77,0.27453,0.30722,0.21488,0.80602,0.99974,0.99703,0.995,0.98495,0.99974,0.99703,0.995,0.9312,0.17403,0.28112,0.16329,0.85937,0.0015248,0.0015248,0.0015248
50,5837.19,0.26872,0.33202,0.20992,0.80973,0.99981,0.99703,0.995,0.98608,0.99981,0.99703,0.995,0.94143,0.19361,0.25557,0.23717,0.86264,0.0015149,0.0015149,0.0015149
51,5953.65,0.27108,0.31371,0.21161,0.80941,0.99978,0.99703,0.995,0.98603,0.99978,0.99703,0.995,0.95794,0.20117,0.27435,0.16481,0.86906,0.001505,0.001505,0.001505
52,6070.14,0.28355,0.31646,0.22009,0.80902,0.99981,0.99703,0.995,0.98514,0.99981,0.99703,0.995,0.9516,0.20722,0.30247,0.15858,0.86748,0.0014951,0.0014951,0.0014951
53,6186.6,0.29189,0.31683,0.21914,0.81764,0.99979,0.99703,0.995,0.98189,0.99979,0.99703,0.995,0.94776,0.25297,0.26708,0.1952,0.86493,0.0014852,0.0014852,0.0014852
54,6303.06,0.27597,0.30981,0.21185,0.80922,0.9997,0.99703,0.995,0.98651,0.9997,0.99703,0.995,0.95004,0.18988,0.26553,0.18429,0.86269,0.0014753,0.0014753,0.0014753
55,6419.52,0.29153,0.3479,0.22243,0.80796,0.99963,0.99703,0.995,0.98226,0.99963,0.99703,0.995,0.95219,0.22693,0.27471,0.27761,0.86726,0.0014654,0.0014654,0.0014654
56,6535.98,0.27027,0.31444,0.21468,0.80473,0.99977,0.99703,0.995,0.98706,0.99977,0.99703,0.995,0.96318,0.21656,0.27506,0.21617,0.86309,0.0014555,0.0014555,0.0014555
57,6652.61,0.26244,0.30221,0.20647,0.80793,0.99983,0.99703,0.995,0.99141,0.99983,0.99703,0.995,0.95991,0.17709,0.24763,0.16701,0.85664,0.0014456,0.0014456,0.0014456
58,6769.16,0.25352,0.3023,0.1955,0.81126,0.99981,0.99703,0.995,0.99013,0.99981,0.99703,0.995,0.95186,0.16758,0.29203,0.14806,0.86372,0.0014357,0.0014357,0.0014357
59,6885.61,0.25065,0.28929,0.19684,0.80126,0.99983,0.99703,0.995,0.99044,0.99983,0.99703,0.995,0.96419,0.18706,0.23675,0.16708,0.85765,0.0014258,0.0014258,0.0014258
60,7002.26,0.26972,0.29384,0.20626,0.81412,0.99963,0.99703,0.995,0.98662,0.99963,0.99703,0.995,0.94763,0.22404,0.25998,0.17851,0.86291,0.0014159,0.0014159,0.0014159
61,7118.71,0.252,0.30895,0.1989,0.80577,0.99977,0.99703,0.995,0.98822,0.99977,0.99703,0.995,0.94338,0.1629,0.25001,0.15281,0.85978,0.001406,0.001406,0.001406
62,7235.17,0.25379,0.31778,0.20023,0.80373,0.99971,0.99703,0.995,0.98941,0.99971,0.99703,0.995,0.96387,0.18303,0.25727,0.13835,0.86326,0.0013961,0.0013961,0.0013961
63,7351.66,0.26535,0.319,0.20287,0.8071,0.99982,0.99703,0.995,0.99017,0.99982,0.99703,0.995,0.96326,0.17792,0.24909,0.1496,0.86193,0.0013862,0.0013862,0.0013862
64,7468.13,0.25203,0.30478,0.20128,0.80466,0.99979,0.99703,0.995,0.98943,0.99979,0.99703,0.995,0.93762,0.17068,0.28036,0.18133,0.86346,0.0013763,0.0013763,0.0013763
65,7584.61,0.27176,0.31314,0.21075,0.81117,0.9998,0.99703,0.995,0.99113,0.9998,0.99703,0.995,0.96289,0.1901,0.23719,0.16144,0.86144,0.0013664,0.0013664,0.0013664
66,7701.06,0.26262,0.30372,0.20322,0.80654,0.99975,0.99703,0.995,0.98987,0.99975,0.99703,0.995,0.96541,0.19654,0.2417,0.14657,0.86718,0.0013565,0.0013565,0.0013565
67,7817.59,0.25869,0.30187,0.20226,0.80631,0.99983,0.99703,0.995,0.98921,0.99983,0.99703,0.995,0.9401,0.1812,0.2463,0.13293,0.86507,0.0013466,0.0013466,0.0013466
68,7934.02,0.24312,0.2819,0.192,0.80586,0.99984,0.99703,0.995,0.98208,0.99984,0.99703,0.995,0.96651,0.18825,0.21445,0.14401,0.85905,0.0013367,0.0013367,0.0013367
69,8050.46,0.24158,0.29688,0.19134,0.80016,0.99977,0.99703,0.995,0.98915,0.99977,0.99703,0.995,0.95996,0.17195,0.24539,0.13013,0.86135,0.0013268,0.0013268,0.0013268
70,8166.83,0.243,0.28785,0.19131,0.80495,0.9998,0.99703,0.995,0.99036,0.9998,0.99703,0.995,0.94472,0.19163,0.29823,0.16069,0.86056,0.0013169,0.0013169,0.0013169
71,8283.22,0.24873,0.3018,0.19238,0.80388,0.99981,0.99703,0.995,0.99186,0.99981,0.99703,0.995,0.94669,0.17524,0.27186,0.15609,0.85729,0.001307,0.001307,0.001307
72,8399.56,0.24292,0.28889,0.19285,0.8032,0.9996,0.99703,0.995,0.98771,0.9996,0.99703,0.995,0.96602,0.1417,0.22572,0.12455,0.85797,0.0012971,0.0012971,0.0012971
73,8516.03,0.22756,0.2687,0.18327,0.79896,0.99981,0.99703,0.995,0.98583,0.99981,0.99703,0.995,0.95123,0.16441,0.2396,0.14309,0.8539,0.0012872,0.0012872,0.0012872
74,8632.37,0.22531,0.284,0.17772,0.80207,0.99984,0.99703,0.995,0.99106,0.99984,0.99703,0.995,0.95718,0.14411,0.22616,0.16045,0.85949,0.0012773,0.0012773,0.0012773
75,8748.77,0.2377,0.28046,0.18671,0.80347,0.9998,0.99703,0.995,0.99142,0.9998,0.99703,0.995,0.95586,0.15033,0.20388,0.15091,0.84977,0.0012674,0.0012674,0.0012674
76,8865.23,0.23298,0.28686,0.18304,0.802,0.99984,0.99703,0.995,0.98942,0.99984,0.99703,0.995,0.96088,0.15973,0.24049,0.16513,0.85292,0.0012575,0.0012575,0.0012575
77,8981.58,0.22809,0.27706,0.18345,0.7935,0.9998,0.99703,0.995,0.99104,0.9998,0.99703,0.995,0.95669,0.16974,0.26255,0.14085,0.8591,0.0012476,0.0012476,0.0012476
78,9097.97,0.23015,0.26697,0.18401,0.79731,0.99984,0.99703,0.995,0.99005,0.99984,0.99703,0.995,0.94805,0.15798,0.24853,0.12415,0.86006,0.0012377,0.0012377,0.0012377
79,9214.39,0.23626,0.27555,0.18457,0.805,0.99984,0.99703,0.995,0.99058,0.99984,0.99703,0.995,0.96526,0.17971,0.2203,0.1462,0.85659,0.0012278,0.0012278,0.0012278
80,9330.96,0.23609,0.26854,0.18404,0.80166,0.99983,0.99703,0.995,0.99118,0.99983,0.99703,0.995,0.96724,0.19384,0.22533,0.17241,0.85625,0.0012179,0.0012179,0.0012179
81,9447.56,0.2201,0.2602,0.17538,0.80512,0.99976,0.99703,0.995,0.98613,0.99976,0.99703,0.995,0.96165,0.13752,0.20683,0.11748,0.85691,0.001208,0.001208,0.001208
82,9564,0.23176,0.27921,0.17949,0.79915,0.99983,0.99703,0.995,0.99043,0.99983,0.99703,0.995,0.97496,0.15462,0.19291,0.12103,0.84932,0.0011981,0.0011981,0.0011981
83,9680.58,0.21977,0.2721,0.16931,0.80108,0.99951,0.99703,0.995,0.98919,0.99951,0.99703,0.995,0.96204,0.13748,0.20612,0.124,0.85005,0.0011882,0.0011882,0.0011882
